order_id,product_id,order_date,amount
536365,85123A,2010-12-01,15.30
536365,71053,2010-12-01,20.34
536365,84406B,2010-12-01,22.00
536365,84029G,2010-12-01,20.34
536365,84029E,2010-12-01,20.34
536365,22752,2010-12-01,15.30
536365,21730,2010-12-01,25.50
536366,22633,2010-12-01,11.10
536366,22632,2010-12-01,11.10
536367,84879,2010-12-01,54.08
536367,22745,2010-12-01,12.60
536367,22748,2010-12-01,12.60
536367,22749,2010-12-01,30.00
536367,22310,2010-12-01,9.90
536367,84969,2010-12-01,25.50
536367,22623,2010-12-01,14.85
536367,22622,2010-12-01,19.90
536367,21754,2010-12-01,17.85
536367,21755,2010-12-01,17.85
536367,21777,2010-12-01,31.80
536367,48187,2010-12-01,31.80
536368,22960,2010-12-01,25.50
536368,22913,2010-12-01,14.85
536368,22912,2010-12-01,14.85
536368,22914,2010-12-01,14.85
536369,21756,2010-12-01,17.85
536370,22728,2010-12-01,90.00
536370,22727,2010-12-01,90.00
536370,22726,2010-12-01,45.00
536370,21724,2010-12-01,10.20
536370,21883,2010-12-01,15.60
536370,10002,2010-12-01,40.80
536370,21791,2010-12-01,30.00
536370,21035,2010-12-01,53.10
536370,22326,2010-12-01,70.80
536370,22629,2010-12-01,46.80
536370,22659,2010-12-01,46.80
536370,22631,2010-12-01,46.80
536370,22661,2010-12-01,17.00
536370,21731,2010-12-01,39.60
536370,22900,2010-12-01,70.80
536370,21913,2010-12-01,45.00
536370,22540,2010-12-01,10.08
536370,22544,2010-12-01,10.08
536370,22492,2010-12-01,23.40
536370,POST,2010-12-01,54.00
536371,22086,2010-12-01,204.00
536372,22632,2010-12-01,11.10
536372,22633,2010-12-01,11.10
536373,85123A,2010-12-01,15.30
536373,71053,2010-12-01,20.34
536373,84406B,2010-12-01,22.00
536373,20679,2010-12-01,29.70
536373,37370,2010-12-01,6.36
536373,21871,2010-12-01,6.36
536373,21071,2010-12-01,6.36
536373,21068,2010-12-01,6.36
536373,82483,2010-12-01,9.90
536373,82486,2010-12-01,27.80
536373,82482,2010-12-01,12.60
536373,82494L,2010-12-01,15.30
536373,84029G,2010-12-01,20.34
536373,84029E,2010-12-01,20.34
536373,22752,2010-12-01,15.30
536373,21730,2010-12-01,25.50
536374,21258,2010-12-01,350.40
536375,85123A,2010-12-01,15.30
536375,71053,2010-12-01,20.34
536375,84406B,2010-12-01,22.00
536375,20679,2010-12-01,29.70
536375,37370,2010-12-01,6.36
536375,21871,2010-12-01,6.36
536375,21071,2010-12-01,6.36
536375,21068,2010-12-01,6.36
536375,82483,2010-12-01,9.90
536375,82486,2010-12-01,27.80
536375,82482,2010-12-01,12.60
536375,82494L,2010-12-01,15.30
536375,84029G,2010-12-01,20.34
536375,84029E,2010-12-01,20.34
536375,22752,2010-12-01,15.30
536375,21730,2010-12-01,25.50
536376,22114,2010-12-01,165.60
536376,21733,2010-12-01,163.20
536377,22632,2010-12-01,11.10
536377,22633,2010-12-01,11.10
536378,22386,2010-12-01,19.50
536378,85099C,2010-12-01,19.50
536378,21033,2010-12-01,29.50
536378,20723,2010-12-01,8.50
536378,84997B,2010-12-01,45.00
536378,84997C,2010-12-01,22.50
536378,21094,2010-12-01,10.20
536378,20725,2010-12-01,16.50
536378,21559,2010-12-01,15.30
536378,22352,2010-12-01,15.30
536378,21212,2010-12-01,50.40
536378,21975,2010-12-01,13.20
536378,21977,2010-12-01,13.20
536378,84991,2010-12-01,13.20
536378,84519A,2010-12-01,17.70
536378,85183B,2010-12-01,60.00
536378,85071B,2010-12-01,36.48
536378,21931,2010-12-01,19.50
536378,21929,2010-12-01,19.50
536380,22961,2010-12-01,34.80
536381,22139,2010-12-01,97.75
536381,84854,2010-12-01,24.75
536381,22411,2010-12-01,19.50
536381,82567,2010-12-01,4.20
536381,21672,2010-12-01,7.50
536381,22774,2010-12-01,30.00
536381,22771,2010-12-01,30.00
536381,71270,2010-12-01,1.25
536381,22262,2010-12-01,0.85
536381,22637,2010-12-01,2.55
536381,21934,2010-12-01,16.50
536381,21169,2010-12-01,5.07
